RUN	computerdatabase.BasicSimulation	basicsimulation	1731310096437	 	3.9.5
USER	Scenario Name	START	1731310098233
REQUEST		request_1	1731310098230	1731310098794	OK	 
REQUEST		request_1 Redirect 1	1731310098798	1731310099084	OK	 
REQUEST		request_2	1731310106096	1731310106380	OK	 
REQUEST		request_3	1731310108382	1731310108664	OK	 
REQUEST		request_4	1731310111667	1731310111949	OK	 
REQUEST		request_4 Redirect 1	1731310111949	1731310112237	OK	 
REQUEST		request_5	1731310114240	1731310114526	OK	 
REQUEST		request_6	1731310115202	1731310115484	OK	 
REQUEST		request_7	1731310116116	1731310116393	OK	 
REQUEST		request_8	1731310117129	1731310117406	OK	 
REQUEST		request_9	1731310122413	1731310122689	OK	 
REQUEST		request_10	1731310123698	1731310123977	OK	 
REQUEST		request_10 Redirect 1	1731310123988	1731310124269	OK	 
USER	Scenario Name	END	1731310124276
